origin_country,destination_country,passengers
Portugal,Malaysia,364
South Korea,Jordan,497
Iran,Nigeria,206
Italy,Hungary,15
Kenya,Philippines,413
Chile,Greece,413
Iraq,Philippines,88
Denmark,Japan,219
Sweden,Greece,411
Poland,Finland,455
Romania,Singapore,207
Germany,India,70
UK,Hungary,372
Nigeria,South Korea,465
Hungary,Denmark,95
Germany,Ireland,118
Austria,Portugal,277
USA,Saudi Arabia,229
Romania,Malaysia,483
Singapore,Ghana,238
Russia,Philippines,419
Iran,South Korea,311
Japan,Hungary,208
Canada,Finland,378
UAE,Romania,267
Sweden,Italy,32
France,Jordan,387
Nigeria,Turkey,330
Netherlands,Chile,168
UAE,Denmark,477
Japan,Finland,340
China,Russia,218
Greece,Saudi Arabia,230
Austria,UAE,405
South Africa,Czechia,341
Sweden,Oman,295
Philippines,Australia,196
Iraq,Greece,488
Qatar,Brazil,103
Egypt,Qatar,406
USA,Japan,328
Israel,Romania,296
Iran,Romania,296
Hungary,Iran,418
Germany,Switzerland,341
China,New Zealand,32
Israel,Australia,454
Indonesia,Russia,12
UK,Nigeria,168
India,Indonesia,39
Poland,Ghana,246
Switzerland,Ukraine,90
Kenya,Romania,51
Chile,Israel,323
Netherlands,Portugal,392
Ukraine,Japan,367
Canada,Norway,382
Egypt,South Korea,96
Peru,South Africa,331
Hungary,India,414
Mexico,Denmark,115
Germany,Turkey,337
Spain,Egypt,478
Saudi Arabia,Egypt,4
Germany,USA,235
Japan,Denmark,118
Chile,Iraq,73
Canada,UK,316
China,Poland,72
Norway,Indonesia,235
Argentina,Finland,160
China,Nigeria,169
Finland,Colombia,149
Germany,New Zealand,261
Finland,Spain,442
Oman,USA,244
Peru,Denmark,469
Australia,Austria,184
Vietnam,Japan,9
Ghana,Austria,10
South Korea,Switzerland,63
Belgium,Japan,316
Russia,Ireland,299
Finland,USA,414
Portugal,Sweden,267
Portugal,Argentina,265
Ukraine,Greece,264
Sweden,Ukraine,69
Portugal,UAE,420
Greece,South Africa,53
Denmark,Qatar,278
Ukraine,Kenya,349
Oman,Czechia,271
Portugal,Belgium,319
Nigeria,Switzerland,238
Colombia,China,16
Iran,USA,11
Netherlands,Israel,111
Russia,Mexico,99
Switzerland,Malaysia,314
Israel,Denmark,111
Ukraine,Brazil,418
Nigeria,Sweden,357
USA,Peru,297
Iran,Vietnam,404
USA,Saudi Arabia,334
India,Hungary,191
Egypt,Netherlands,110
Austria,Japan,252
Australia,Italy,461
USA,Canada,490
Jordan,Norway,223
Iran,Netherlands,47
Poland,Germany,411
Mexico,Israel,259
Chile,USA,228
Kenya,UAE,492
Switzerland,Argentina,383
New Zealand,Netherlands,85
Austria,Indonesia,38
Saudi Arabia,Ukraine,78
Thailand,Sweden,137
South Korea,Singapore,97
Portugal,Ukraine,194
India,UK,182
Iran,India,490
Greece,Jordan,110
India,Finland,251
Ukraine,Austria,107
Switzerland,Indonesia,355
South Africa,Finland,319
Poland,Japan,298
Peru,Turkey,288
Switzerland,South Africa,392
USA,Philippines,490
Japan,Singapore,348
Denmark,Netherlands,107
UAE,Ireland,347
Ireland,Argentina,204
Italy,Qatar,284
Malaysia,South Africa,462
Qatar,Greece,85
Egypt,Kenya,38
Mexico,Colombia,5
Netherlands,Mexico,144
South Africa,India,426
USA,Turkey,123
Argentina,Qatar,30
Singapore,Netherlands,482
Finland,Romania,163
Canada,China,151
Sweden,Italy,357
Egypt,Saudi Arabia,111
Ukraine,Hungary,112
Norway,Czechia,188
Norway,USA,358
China,Brazil,247
Spain,Hungary,397
Israel,Austria,102
Romania,USA,425
Turkey,Thailand,155
Switzerland,France,51
Denmark,Japan,96
Thailand,Sweden,490
Colombia,Singapore,145
Denmark,Australia,322
Malaysia,Spain,313
Malaysia,Ireland,265
Peru,Malaysia,316
South Africa,Sweden,78
Argentina,Norway,148
Chile,South Africa,421
Iran,Iraq,61
Denmark,South Africa,237
South Africa,Malaysia,408
Russia,Ukraine,79
Ghana,Qatar,69
Czechia,Romania,284
Iran,Spain,52
Vietnam,South Africa,493
Finland,USA,170
France,Jordan,242
Israel,Singapore,218
Netherlands,USA,88
Hungary,Switzerland,499
Ghana,Spain,24
Italy,Czechia,476
Canada,South Korea,84
Iran,Ukraine,370
Philippines,Sweden,466
Israel,Ukraine,9
Indonesia,Colombia,489
Norway,Turkey,48
France,Austria,216
India,Mexico,293
Egypt,Israel,186
Romania,Egypt,84
Jordan,Chile,158
Kenya,Romania,85
Mexico,Hungary,381
Germany,Turkey,388
Saudi Arabia,Brazil,191
Belgium,Norway,477
Argentina,Malaysia,109
Colombia,Saudi Arabia,279
Hungary,Ukraine,386
Australia,Philippines,432
Qatar,USA,210
Poland,Egypt,139
UK,Argentina,471
Vietnam,Netherlands,340
Israel,New Zealand,80
Ukraine,Portugal,259
Egypt,Saudi Arabia,472
Norway,Ghana,58
Mexico,Czechia,194
Ukraine,Indonesia,420
Ghana,Saudi Arabia,133
Thailand,South Korea,14
France,Greece,232
Canada,Nigeria,124
Oman,Ghana,384
Czechia,Saudi Arabia,188
Qatar,Kenya,284
Austria,Italy,436
Colombia,Finland,24
Spain,Finland,73
Denmark,Netherlands,203
Argentina,Jordan,18
Brazil,Kenya,468
Greece,Spain,247
Japan,Egypt,61
New Zealand,Mexico,81
Sweden,Qatar,288
Vietnam,Hungary,396
Iraq,Mexico,294
Vietnam,Nigeria,70
Peru,Iran,486
Austria,Romania,348
Finland,Oman,32
Canada,Ukraine,297
Hungary,South Africa,469
France,Hungary,112
UK,New Zealand,17
Saudi Arabia,Chile,238
Greece,Kenya,34
Turkey,Colombia,214
Nigeria,Ukraine,161
South Korea,Hungary,305
Denmark,Saudi Arabia,223
Turkey,Indonesia,179
Chile,Israel,103
Vietnam,France,86
Oman,Australia,18
Turkey,Philippines,13
USA,Czechia,286
Norway,Poland,308
Ukraine,Russia,414
Oman,Qatar,255
Romania,China,337
Russia,Vietnam,344
France,South Korea,183
UAE,Ireland,416
UK,New Zealand,225
Qatar,Mexico,15
Canada,Austria,83
Czechia,India,384
Germany,UAE,496
Thailand,Singapore,298
Saudi Arabia,Greece,83
Brazil,Qatar,12
USA,Switzerland,221
New Zealand,USA,405
Belgium,USA,352
New Zealand,Germany,474
Australia,Colombia,55
China,Oman,324
France,Singapore,26
Russia,Belgium,4
Turkey,UK,427
Hungary,UK,244
New Zealand,Egypt,110
Belgium,Czechia,103
Israel,New Zealand,336
Chile,Russia,419
Colombia,Switzerland,53
Greece,Mexico,477
Norway,Romania,196
USA,Ghana,71
Ghana,Czechia,409
Iran,Norway,287
Thailand,Ireland,41
China,USA,45
Sweden,Thailand,174
Sweden,Japan,229
Singapore,Romania,486
USA,Ireland,454
UAE,USA,293
Belgium,Turkey,360
Egypt,France,378
Canada,Netherlands,257
Finland,Colombia,289
Ukraine,Norway,442
USA,Iraq,257
Germany,Malaysia,375
Poland,Colombia,83
Poland,India,316
Netherlands,South Korea,23
Jordan,Canada,140
UAE,Chile,253
Sweden,New Zealand,37
Singapore,Oman,444
Thailand,Oman,342
Argentina,Norway,250
Thailand,South Korea,350
Denmark,Indonesia,42
Australia,Finland,325
Italy,Saudi Arabia,138
Thailand,Chile,175
Ukraine,Russia,465
Germany,Chile,233
Spain,Canada,32
South Africa,Canada,298
Qatar,Israel,367
Saudi Arabia,Iran,308
Iraq,New Zealand,498
Sweden,Iran,51
Indonesia,Egypt,419
Thailand,Austria,377
Australia,Germany,230
Peru,Qatar,38
Iran,Czechia,165
France,UAE,317
Saudi Arabia,Oman,491
Colombia,New Zealand,35
Sweden,Ireland,366
Mexico,UAE,488
Ukraine,Hungary,390
Thailand,South Korea,456
Thailand,Malaysia,497
Mexico,Sweden,221
Oman,Russia,149
Finland,Saudi Arabia,161
Greece,Sweden,278
Romania,South Africa,96
South Korea,Russia,3
Ukraine,Mexico,123
Mexico,Brazil,425
Norway,Israel,272
Netherlands,Portugal,90
Peru,Oman,432
Singapore,Canada,325
Norway,Sweden,483
India,Switzerland,212
Peru,India,310
Spain,Greece,312
Netherlands,Greece,53
Poland,Qatar,494
Russia,Egypt,412
Oman,Israel,316
UK,Vietnam,352
Singapore,Iraq,52
Ireland,Czechia,103
Italy,Australia,437
Mexico,Russia,446
Qatar,Norway,268
Ukraine,Nigeria,87
Denmark,Ukraine,4
Netherlands,Oman,124
Russia,Sweden,177
UK,Germany,227
Mexico,Chile,210
Turkey,Mexico,470
Iran,Canada,304
Netherlands,Peru,131
Kenya,Italy,118
India,Saudi Arabia,194
Poland,Canada,158
Switzerland,Czechia,461
South Africa,Italy,276
Brazil,Germany,419
Belgium,Vietnam,464
Peru,UK,158
Japan,Malaysia,465
UK,Norway,373
China,Canada,412
New Zealand,Argentina,439
Netherlands,Canada,462
Brazil,Israel,141
Hungary,Finland,440
Malaysia,China,96
Japan,South Africa,202
Mexico,Switzerland,110
Israel,Russia,135
USA,Hungary,12
Norway,Argentina,20
Qatar,France,101
Turkey,Mexico,25
Qatar,Italy,431
Spain,Argentina,252
Ghana,Kenya,112
Portugal,Spain,19
Canada,Indonesia,79
USA,UAE,5
Denmark,Oman,178
Saudi Arabia,India,427
India,Portugal,303
Austria,Poland,170
Thailand,Greece,455
Qatar,Nigeria,146
Ukraine,Oman,306
Norway,Switzerland,41
USA,Norway,294
Netherlands,Hungary,93
Egypt,Italy,173
Norway,Israel,356
China,Ireland,21
Norway,Sweden,408
Brazil,Nigeria,430
Brazil,Ireland,277
UK,India,393
Iraq,Saudi Arabia,270
Canada,Kenya,178
India,Belgium,149
Mexico,Germany,53
China,Romania,251
Israel,Mexico,324
Turkey,Russia,73
Russia,Saudi Arabia,275
Switzerland,Australia,424
Spain,Czechia,132
Thailand,Israel,1
Chile,Brazil,480
Canada,Malaysia,191
Malaysia,Sweden,270
Indonesia,Colombia,404
Switzerland,Germany,363
Poland,Argentina,446
Mexico,South Korea,96
Spain,Mexico,419
Indonesia,Switzerland,436
New Zealand,Canada,298
Singapore,Canada,82
Norway,Jordan,292
China,Finland,232
Finland,Poland,46
Switzerland,Jordan,388
Czechia,Ghana,10
China,Iran,18
Canada,Ukraine,150
Finland,France,83
Iraq,Israel,263
Jordan,Chile,30
Poland,Portugal,136
Norway,Brazil,173
Chile,Argentina,455
Brazil,Canada,80
Denmark,Colombia,338
Singapore,Austria,50
Canada,Iraq,204
South Africa,Argentina,155
Portugal,Malaysia,145
Israel,Japan,148
UAE,Netherlands,243
USA,Kenya,291
Australia,Greece,441
Iraq,Germany,281
Egypt,Indonesia,335
Ireland,USA,335
Poland,Austria,26
Austria,Norway,105
UAE,USA,275
Italy,Switzerland,60
Singapore,Netherlands,113
South Africa,Jordan,150
Germany,Poland,279
Germany,Norway,184
Poland,Italy,283
Peru,Turkey,128
Mexico,Canada,426
Denmark,UK,187
Austria,Portugal,440
Egypt,South Korea,493
Poland,France,34
Ireland,Malaysia,81
Saudi Arabia,Indonesia,292
Qatar,Norway,415
Iraq,Denmark,267
Romania,Russia,435
Argentina,Vietnam,219
Nigeria,Germany,264
Denmark,Thailand,144
Saudi Arabia,Singapore,401
USA,China,44
Czechia,Jordan,248
Belgium,Japan,290
Poland,New Zealand,246
Finland,France,159
Romania,Singapore,419
Colombia,Iraq,284
Indonesia,Chile,222
Ghana,Romania,133
Portugal,Ukraine,492
Indonesia,Italy,435
Nigeria,Vietnam,283
Denmark,Philippines,140
Colombia,Czechia,189
Singapore,Kenya,492
Ukraine,Argentina,86
South Africa,Spain,140
Netherlands,Sweden,383
Belgium,Russia,127
Romania,Israel,316
Ghana,Thailand,374
China,Colombia,235
Thailand,Denmark,59
Belgium,South Africa,395
Finland,Mexico,129
Italy,Turkey,63
Greece,Vietnam,308
Peru,Switzerland,149
Colombia,Malaysia,158
Jordan,Turkey,133
New Zealand,Greece,452
Austria,South Africa,490
Vietnam,Romania,408
China,Greece,14
Vietnam,Thailand,393
Spain,Romania,468
South Africa,Italy,319
Sweden,Russia,13
Indonesia,Portugal,432
Philippines,UK,165
Kenya,South Africa,474
Vietnam,Finland,414
Iran,Belgium,423
Mexico,UK,101
Singapore,Switzerland,27
Canada,Qatar,21
Oman,Switzerland,330
Finland,South Korea,113
Japan,Kenya,495
Germany,Czechia,384
Peru,South Africa,11
South Africa,Ghana,462
Portugal,South Africa,377
France,Argentina,475
Thailand,New Zealand,135
Saudi Arabia,Israel,338
Kenya,Ireland,371
Netherlands,Malaysia,358
Qatar,Israel,500
New Zealand,UK,399
Greece,Romania,437
Turkey,Nigeria,48
Argentina,China,107
Egypt,Vietnam,49
Indonesia,New Zealand,204
Brazil,Japan,90
Russia,Austria,121
Poland,China,128
Thailand,South Korea,30
UK,China,189
Switzerland,Qatar,399
Russia,Kenya,416
Peru,Indonesia,164
Hungary,Oman,481
Iraq,Poland,266
Philippines,Mexico,217
Mexico,Thailand,274
Peru,Switzerland,225
Malaysia,Egypt,407
Singapore,New Zealand,497
Canada,Germany,15
South Africa,USA,429
USA,Norway,477
UK,Chile,447
Germany,Brazil,255
Denmark,France,269
UAE,Japan,421
Kenya,Egypt,149
Colombia,Denmark,82
Mexico,Denmark,184
Chile,Argentina,349
Iraq,UAE,409
Spain,Canada,85
Ukraine,UK,111
Mexico,UAE,455
Philippines,Ukraine,184
China,Ireland,156
Spain,Romania,278
Brazil,Italy,179
Iraq,Belgium,419
Ireland,Singapore,16
Canada,Indonesia,112
Germany,India,170
Greece,New Zealand,59
Indonesia,Japan,169
UK,Portugal,424
Sweden,Norway,317
UAE,Jordan,258
Colombia,Spain,268
Brazil,Canada,382
USA,Vietnam,20
UAE,China,57
Finland,China,163
Hungary,Ukraine,435
Mexico,South Africa,171
UK,Canada,370
New Zealand,Romania,336
Greece,France,215
Jordan,UK,95
Nigeria,Oman,95
Italy,India,12
South Korea,Philippines,162
Egypt,Ghana,292
Finland,France,244
Turkey,Netherlands,21
Germany,Poland,153
Greece,UAE,3
Ghana,South Korea,33
Ireland,Australia,464
Switzerland,Sweden,45
UAE,Oman,116
Denmark,Czechia,230
USA,Russia,339
USA,Switzerland,168
Brazil,Kenya,278
Kenya,Spain,482
Sweden,Czechia,314
Hungary,Colombia,140
Iraq,Canada,272
Sweden,Oman,73
South Africa,Denmark,104
Switzerland,Ghana,300
New Zealand,Portugal,16
Jordan,Ireland,224
Denmark,France,406
Jordan,Russia,358
Norway,Portugal,440
Romania,Israel,466
South Korea,Jordan,351
Argentina,Czechia,251
Singapore,Nigeria,398
South Africa,Italy,372
Czechia,Austria,415
Chile,Mexico,357
Hungary,Czechia,191
Jordan,South Africa,458
Australia,Philippines,193
Peru,New Zealand,35
Vietnam,Malaysia,348
Norway,Iraq,57
Switzerland,Poland,82
Germany,Spain,97
Thailand,Ghana,434
Mexico,China,73
Austria,Belgium,124
Finland,Peru,28
Jordan,Iraq,226
Brazil,UK,56
Portugal,New Zealand,152
Belgium,Indonesia,181
Austria,Jordan,207
Japan,Vietnam,167
Ireland,Indonesia,276
Nigeria,Japan,5
Chile,Norway,128
Australia,Egypt,242
Czechia,Singapore,263
Oman,Poland,197
Egypt,Sweden,205
Italy,Egypt,297
Poland,New Zealand,32
Austria,Turkey,29
Japan,Malaysia,113
Poland,France,21
Italy,Qatar,97
Ireland,Hungary,214
Australia,Oman,349
China,Kenya,238
New Zealand,South Korea,418
Kenya,Japan,105
UK,Thailand,176
Argentina,Belgium,80
China,Germany,40
Japan,Argentina,368
France,Austria,310
Russia,Ireland,265
Iran,Sweden,379
Portugal,UAE,431
Ireland,Norway,235
New Zealand,Israel,395
South Africa,Denmark,423
Switzerland,Philippines,103
Malaysia,Brazil,391
Colombia,Singapore,474
Australia,South Korea,445
Sweden,Greece,434
Iraq,Israel,183
Israel,Vietnam,222
Greece,Brazil,427
Philippines,Spain,376
France,UAE,35
Japan,Ukraine,339
Japan,Qatar,448
Israel,Brazil,223
Iraq,Brazil,177
Ukraine,Norway,311
Egypt,Netherlands,52
Israel,UAE,208
Netherlands,Israel,297
Australia,France,24
Mexico,Ukraine,17
Colombia,Peru,100
Mexico,Ghana,5
Kenya,Switzerland,324
China,Hungary,311
Belgium,Peru,370
USA,Ukraine,463
Russia,Qatar,348
New Zealand,Canada,116
UAE,Brazil,197
Mexico,Canada,117
Hungary,UAE,101
Australia,Ireland,218
Indonesia,USA,315
Vietnam,USA,386
Egypt,Malaysia,348
Austria,Italy,134
Netherlands,Sweden,379
Russia,Ukraine,291
Chile,Qatar,435
Jordan,Qatar,150
Indonesia,Thailand,434
Thailand,Colombia,147
Spain,Chile,292
UAE,Japan,142
China,Switzerland,499
UK,Argentina,232
Switzerland,Colombia,471
Netherlands,Australia,443
Netherlands,Brazil,492
Greece,Nigeria,226
Qatar,Colombia,338
Germany,Turkey,427
Portugal,Greece,28
Ghana,Turkey,411
Czechia,USA,448
New Zealand,Ireland,18
UAE,Norway,138
Iraq,Canada,380
China,Argentina,332
Greece,Thailand,21
Malaysia,Romania,190
Finland,Saudi Arabia,86
Australia,Mexico,402
Finland,Ukraine,410
Belgium,Ireland,81
Switzerland,Malaysia,482
Iraq,UAE,179
Netherlands,Greece,86
Finland,Indonesia,486
Italy,Netherlands,107
France,Jordan,118
Ireland,Belgium,254
Argentina,Israel,33
New Zealand,Ghana,418
UAE,France,198
Turkey,Norway,226
Israel,Iraq,416
Japan,Indonesia,5
Mexico,South Korea,461
New Zealand,Hungary,301
Qatar,Jordan,415
Kenya,Japan,442
Russia,Greece,47
Switzerland,Kenya,275
Saudi Arabia,Israel,249
Belgium,Argentina,221
Spain,Canada,388
Portugal,South Africa,251
Saudi Arabia,Israel,301
Austria,Ghana,131
Turkey,Belgium,388
South Korea,Thailand,297
Egypt,Brazil,40
Indonesia,Japan,259
Ghana,Iran,248
Greece,Spain,312
UAE,Ghana,375
Spain,Greece,15
Colombia,Australia,53
Iraq,Argentina,94
Brazil,Ukraine,202
China,Philippines,49
China,South Korea,21
Vietnam,Germany,396
Malaysia,Portugal,479
Iraq,Netherlands,340
Qatar,Romania,47
Saudi Arabia,South Africa,241
Ukraine,Colombia,307
Philippines,UK,481
Ghana,Oman,228
Australia,Peru,184
China,Norway,135
Canada,Spain,284
Ghana,Germany,221
Philippines,Turkey,47
Iran,Brazil,170
Portugal,Argentina,68
Belgium,Italy,102
Egypt,Denmark,194
Argentina,Portugal,380
Ireland,USA,392
Czechia,Canada,385
Canada,Ireland,72
Israel,Qatar,313
Nigeria,Colombia,334
Netherlands,Czechia,368
Singapore,Philippines,18
Russia,Qatar,23
France,Nigeria,167
Ukraine,Nigeria,334
Oman,Romania,441
Germany,Nigeria,230
China,Philippines,133
Portugal,Switzerland,361
Austria,Turkey,332
Turkey,Netherlands,488
Argentina,India,403
Indonesia,Egypt,173
Netherlands,South Africa,160
Switzerland,Finland,392
Qatar,Sweden,191
Czechia,Greece,142
India,Switzerland,434
India,Ukraine,88
China,Denmark,110
Germany,Sweden,129
Mexico,Singapore,395
Qatar,Iran,475
Iran,Ukraine,229
Italy,Austria,272
Brazil,Ukraine,278
Mexico,Thailand,403
Italy,Qatar,220
Mexico,Netherlands,71
Ukraine,Belgium,382
Belgium,Austria,111
Belgium,India,362
Ukraine,Nigeria,227
Ukraine,Oman,382
India,Malaysia,125
UK,Brazil,32
France,Austria,139
Hungary,Norway,1
Ukraine,Turkey,363
Ukraine,Nigeria,242
Nigeria,Canada,5
Hungary,Russia,262
China,Greece,378
Denmark,Nigeria,330
Ghana,Denmark,297
Indonesia,Poland,206
South Africa,Singapore,483
Switzerland,Egypt,356
Colombia,Egypt,355
Portugal,China,104
Switzerland,Hungary,349
China,Australia,30
Greece,Thailand,366
Austria,Colombia,57
Iraq,Argentina,482
UK,Italy,196
Indonesia,Finland,101
Russia,Peru,111
South Africa,USA,64
Philippines,Indonesia,197
Singapore,Hungary,380
Malaysia,USA,95
Israel,Czechia,392
Sweden,South Korea,444
Australia,Poland,456
Kenya,Netherlands,238
Kenya,Italy,166
Italy,Peru,295
Belgium,Russia,182
Colombia,South Korea,466
Switzerland,Vietnam,383
Germany,Qatar,228
Ireland,Peru,489
New Zealand,Qatar,307
Ireland,New Zealand,123
Jordan,India,137
Colombia,Canada,358
Argentina,Nigeria,176
Japan,Chile,124
Mexico,Norway,146
India,Russia,296
Germany,Ireland,91
South Korea,Iraq,364
Ghana,Ireland,150
Netherlands,Nigeria,296
Italy,South Africa,34
Hungary,Jordan,373
Russia,Qatar,7
Iraq,UAE,235
Jordan,Nigeria,469
Romania,South Africa,126
India,Australia,286
Mexico,Poland,281
Singapore,Hungary,352
Netherlands,Qatar,135
Qatar,Colombia,498
New Zealand,South Korea,191
Colombia,USA,61
Mexico,New Zealand,39
Colombia,Japan,15
Chile,Kenya,72
Sweden,Ireland,342
Hungary,Turkey,290
South Africa,Ukraine,104
Romania,Belgium,86
Mexico,Iraq,454
Egypt,Brazil,356
Jordan,USA,86
Denmark,Czechia,370
Indonesia,Jordan,257
Indonesia,Spain,267
Indonesia,Iran,252
Turkey,France,361
Hungary,UAE,223
India,Chile,73
Ireland,Egypt,219
India,Oman,286
Norway,South Korea,494
UAE,Canada,49
China,Philippines,242
USA,Czechia,482
Austria,Russia,211
Kenya,Turkey,354
Indonesia,New Zealand,351
Sweden,UK,25
Spain,Thailand,214
Turkey,New Zealand,379
Australia,France,287
Italy,Iran,268
Greece,Jordan,327
Oman,Greece,385
Egypt,Kenya,269
Peru,Mexico,49
Japan,Mexico,35
Colombia,Ireland,216
Argentina,Israel,64
New Zealand,Finland,404
Iran,Ghana,301
New Zealand,Egypt,131
Colombia,Russia,288
Russia,UAE,169
Ghana,New Zealand,50
Norway,Malaysia,477
Philippines,Oman,109
Ireland,Israel,358
Romania,Norway,117
Kenya,Italy,114
Israel,UAE,423
Hungary,Romania,10
Ghana,Greece,176
Argentina,Jordan,129
Singapore,Portugal,386
Singapore,Australia,381
South Korea,Russia,211
Czechia,Indonesia,159
Chile,Norway,18
Vietnam,Peru,50
France,Portugal,367
Turkey,UAE,109
Italy,Finland,393
Denmark,Indonesia,355
Czechia,Egypt,274
Japan,Philippines,394
South Korea,Turkey,253
Ireland,Thailand,489
Spain,Oman,346
Malaysia,Romania,412
Ukraine,Jordan,396
Ukraine,Egypt,85
Austria,Belgium,29
Nigeria,South Africa,118
Ukraine,Austria,424
Iraq,Brazil,171
Malaysia,Egypt,306
Singapore,Greece,314
Indonesia,Israel,229
Netherlands,Vietnam,97
Poland,Qatar,98
India,Russia,290
Chile,Malaysia,324
Spain,Australia,134
Argentina,Ukraine,433
Greece,USA,318
France,Chile,232
South Africa,Argentina,7
Mexico,Colombia,345
Qatar,Argentina,399
Germany,Oman,49
Qatar,Norway,83
Japan,UK,87
Romania,Kenya,79
Saudi Arabia,Peru,58
Germany,Indonesia,311
Ukraine,Denmark,49
India,Japan,363
Australia,Portugal,361
USA,Ireland,75
Egypt,Nigeria,263
Israel,Turkey,52
Ukraine,Finland,313
Germany,Kenya,207
Netherlands,Ukraine,98
South Korea,USA,304
Australia,Romania,269
Ukraine,France,267
Norway,Iraq,184
Italy,Iran,277
Iraq,Switzerland,388
Spain,New Zealand,480
Iraq,Czechia,48
Russia,Israel,57
Norway,Singapore,201
Germany,Oman,238
Israel,Jordan,493
Kenya,Ghana,434
New Zealand,Peru,163
Russia,Iran,431
Philippines,Saudi Arabia,354
USA,Thailand,275
China,Qatar,207
Egypt,Greece,29
Ghana,Denmark,74
UAE,Hungary,36
Indonesia,Ghana,35
Greece,Hungary,204
Colombia,Italy,328
Turkey,South Africa,203
Israel,Egypt,234
USA,Qatar,195
Brazil,Greece,211
Saudi Arabia,Indonesia,307
Brazil,Czechia,116
Chile,Romania,335
Australia,Iraq,8
Israel,Iran,122
China,Thailand,248
Ukraine,Greece,112
Colombia,Egypt,498
Belgium,Argentina,459
Italy,Nigeria,413
Qatar,Vietnam,302
Switzerland,Netherlands,19
Kenya,Finland,32
Australia,Hungary,472
Israel,Vietnam,1
Indonesia,Japan,93
Romania,Brazil,421
Finland,UK,68
Mexico,Egypt,202
Ireland,Australia,158
Oman,South Korea,317
Jordan,Norway,405
Oman,Portugal,348
Netherlands,Philippines,286
Switzerland,Kenya,477
Ghana,Vietnam,141
Italy,Greece,227
Romania,Belgium,361
Ghana,Ukraine,331
Iraq,Romania,153
Singapore,Turkey,448
Belgium,Sweden,109
Colombia,Spain,356
South Korea,Mexico,18
Iran,Australia,493
Poland,France,391
Hungary,India,57
Hungary,Australia,150
Chile,USA,107
Australia,UK,128
Czechia,China,415
Brazil,Colombia,173
China,Saudi Arabia,116
Malaysia,Sweden,463
UK,Spain,43
Denmark,Peru,273
Saudi Arabia,Mexico,35
Czechia,Oman,443
Japan,USA,144
Colombia,Egypt,297
Norway,Vietnam,472
Turkey,Poland,251
Singapore,Canada,3
Oman,Belgium,204
Greece,Ukraine,473
Italy,Iraq,3
Canada,Jordan,442
Chile,Turkey,415
Kenya,Malaysia,212
USA,New Zealand,435
Egypt,Oman,108
Italy,Denmark,305
Belgium,Kenya,19
Jordan,Iran,283
Russia,Greece,333
Portugal,Spain,239
Finland,Switzerland,279
UAE,Japan,13
Italy,Argentina,216
South Korea,Denmark,382
India,Hungary,487
Norway,Italy,443
Oman,Singapore,412
Qatar,Japan,312
UK,Turkey,434
Jordan,South Africa,102
South Africa,USA,235
Iran,Colombia,216
Colombia,Germany,181
Czechia,Israel,139
Argentina,Germany,167
Saudi Arabia,Canada,400
Japan,Romania,188
Chile,Switzerland,245
USA,Netherlands,429
Hungary,Austria,408
Austria,Oman,160
USA,Turkey,302
France,Germany,309
Canada,Jordan,397
Netherlands,Austria,322
Saudi Arabia,South Korea,418
Spain,Poland,276
USA,Qatar,492
Romania,Vietnam,67
Peru,Romania,21
Vietnam,Oman,103
Jordan,New Zealand,245
India,Egypt,458
Germany,UK,249
Denmark,Norway,135
Kenya,Malaysia,276
Finland,Iraq,83
Qatar,Canada,192
Switzerland,Ireland,45
Belgium,Israel,149
Portugal,Qatar,391
China,Jordan,73
Colombia,New Zealand,191
Jordan,Czechia,442
Iran,Chile,60
UAE,Finland,129
Ghana,Italy,339
Singapore,Ukraine,285
Jordan,Thailand,16
UAE,Sweden,483
Qatar,Italy,292
Brazil,Austria,279
Nigeria,Vietnam,275
Saudi Arabia,Kenya,417
Czechia,Nigeria,235
South Korea,Israel,69
China,Norway,410
Japan,Philippines,455
Poland,Malaysia,322
Czechia,New Zealand,327
Australia,Singapore,459
Hungary,Colombia,40
Vietnam,Iraq,406
UK,Malaysia,382
UAE,Austria,67
Ghana,Saudi Arabia,200
Portugal,Colombia,303
France,Israel,99
Denmark,Singapore,229
Sweden,South Korea,137
Jordan,Spain,489
Greece,Ghana,476
Ghana,Italy,318
Iran,Sweden,252
Romania,Hungary,384
Ireland,Ukraine,178
Ghana,Hungary,125
Sweden,Russia,102
Ukraine,USA,462
Ukraine,Norway,203
Singapore,Brazil,81
Iraq,Russia,483
Hungary,Sweden,392
South Korea,Mexico,75
Kenya,Switzerland,460
Oman,Finland,432
Norway,Germany,49
Denmark,Netherlands,423
Iraq,Indonesia,278
Belgium,Malaysia,217
Norway,Germany,231
Iraq,Poland,315
Peru,Greece,350
Brazil,Italy,147
Brazil,Malaysia,370
UAE,Poland,389
Mexico,Ghana,99
Oman,Switzerland,178
Russia,Austria,107
Turkey,China,459
Argentina,Hungary,104
Poland,Italy,59
USA,Iran,118
Indonesia,Egypt,57
Qatar,Peru,238
Russia,Peru,170
Singapore,Kenya,392
Turkey,Indonesia,483
Switzerland,Austria,166
Qatar,France,417
USA,Czechia,5
Turkey,South Africa,169
Iraq,Greece,17
Chile,Mexico,333
Qatar,New Zealand,426
Indonesia,Qatar,231
Spain,Turkey,29
Oman,Philippines,131
Austria,Argentina,260
Nigeria,South Korea,363
Finland,Japan,489
Vietnam,UK,441
